Informazioni cronologiche,Language/Lingua:,What gender do you identify with?,How old are you?,Where are you from?,Did you continue your studies after high school?,Sesso:,Età:,Continente di provenienza:,Hai continuato gli studi dopo le scuole superiori?,What is your educational background?,In che campo hai studiato?,Are you employed?,Do you spend a lot of time outdoor?,Hai un lavoro?,Passi molto tempo all'aria aperta?,"Assuming you are interested in the product, which is the maximum amount of money you would pay for it? (€)","Assumendo ti interessi il prodotto, qual è la cifra massima che spenderesti per acquistarlo? (€)"
18/03/2019 6.07.03,Italiano,,,,,Femmina,18,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,280
18/03/2019 7.00.56,Italiano,,,,,Femmina,63,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,100
18/03/2019 7.58.26,Italiano,,,,,Femmina,32,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,150
18/03/2019 8.35.36,English,Female,29,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,200,
18/03/2019 9.57.55,English,Male,29,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,Yes,Yes,,,150,
18/03/2019 10.04.58,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,170
18/03/2019 11.07.06,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,150
18/03/2019 11.09.40,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,120
18/03/2019 11.11.59,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,300
18/03/2019 11.34.39,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,200
18/03/2019 11.58.04,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,150
18/03/2019 12.27.12,English,Female,21,Asia,Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,Yes,,,20,
18/03/2019 14.24.12,Italiano,,,,,Maschio,28,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,120
18/03/2019 14.45.11,Italiano,,,,,Maschio,29,"Europa Occidentale (Austria, Belgio, Francia, Germania, Paesi Bassi, Svizzera, ...)",No,,,,,Sì,No,,250
18/03/2019 14.48.02,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,70
18/03/2019 14.59.57,Italiano,,,,,Femmina,26,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,120
18/03/2019 15.10.23,Italiano,,,,,Femmina,37,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,150
18/03/2019 15.06.05,Italiano,,,,,Femmina,38,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,140
18/03/2019 15.16.07,Italiano,,,,,Femmina,51,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,150
18/03/2019 15.24.35,Italiano,,,,,Femmina,55,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,100
18/03/2019 15.49.12,Italiano,,,,,Femmina,49,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,200
18/03/2019 16.25.52,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,50
18/03/2019 16.52.55,Italiano,,,,,Femmina,59,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,150
18/03/2019 16.57.41,Italiano,,,,,Femmina,37,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,150
18/03/2019 18.14.57,Italiano,,,,,Femmina,27,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,100
19/03/2019 1.35.23,English,Male,20,"Eastern Europe (Czech Republic, Estonia, Hungary, Latvia, Lithuania, Russia, ... )",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,150,
19/03/2019 4.19.39,Italiano,,,,,Maschio,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,90
19/03/2019 5.42.38,Italiano,,,,,Maschio,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,60
19/03/2019 7.15.05,Italiano,,,,,Femmina,53,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,200
19/03/2019 7.15.38,Italiano,,,,,Maschio,59,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,150
19/03/2019 8.19.00,Italiano,,,,,Femmina,57,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,100
19/03/2019 15.03.38,Italiano,,,,,Maschio,30,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,150
20/03/2019 5.31.06,Italiano,,,,,Maschio,59,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,Sì,,80
20/03/2019 5.41.30,Italiano,,,,,Maschio,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,150
20/03/2019 5.42.22,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,50
20/03/2019 5.44.23,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,130
20/03/2019 6.02.22,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,80
20/03/2019 6.03.17,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,200
20/03/2019 6.05.05,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,200
20/03/2019 6.06.35,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,80
20/03/2019 6.07.47,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,60
20/03/2019 6.50.25,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,100
20/03/2019 8.08.59,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,300
20/03/2019 8.18.42,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,150
20/03/2019 8.25.41,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,50
20/03/2019 8.35.54,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,150
